Reporting level,Province,Region,Indicator,Metric,Data year,Unit of measurement,Indicator result
Provincial,Nova Scotia,,Prostate Cancer Surgery,Volume,2008,Number of cases,
Provincial,Nova Scotia,,Radiation Therapy,% Meeting Benchmark,2008,Proportion,
Provincial,Nova Scotia,,Radiation Therapy,50th Percentile,2008,Days,
Provincial,Nova Scotia,,Radiation Therapy,90th Percentile,2008,Days,
Provincial,Nova Scotia,,Radiation Therapy,Volume,2008,Number of cases,1367.0
Provincial,Ontario,,Bladder Cancer Surgery,50th Percentile,2008,Days,
Provincial,Ontario,,Bladder Cancer Surgery,90th Percentile,2008,Days,
Provincial,Ontario,,Bladder Cancer Surgery,Volume,2008,Number of cases,
Provincial,Ontario,,Breast Cancer Surgery,50th Percentile,2008,Days,
Provincial,Ontario,,Breast Cancer Surgery,90th Percentile,2008,Days,
Provincial,Ontario,,Breast Cancer Surgery,Volume,2008,Number of cases,
Provincial,Ontario,,CABG,% Meeting Benchmark,2008,Proportion,100.0
Provincial,Ontario,,CABG,50th Percentile,2008,Days,19.0
Provincial,Ontario,,CABG,90th Percentile,2008,Days,56.0
Provincial,Ontario,,CABG,Volume,2008,Number of cases,3468.0
Provincial,Ontario,,Cataract Surgery,% Meeting Benchmark,2008,Proportion,88.0
Provincial,Ontario,,Cataract Surgery,50th Percentile,2008,Days,44.0
Provincial,Ontario,,Cataract Surgery,90th Percentile,2008,Days,123.0
